"date","SARS_CoV_2_RNA_copies_d_100000","quantification_flag","flow_m3_d","sample_origin"
"2021-07-15","210000000000","D",32522,"ARAAf"
"2021-07-15","0","N",28215,"ARABü"
"2021-07-15","100000000000","D",65716,"ARADi"
"2021-07-15","72900000000","D",59270,"ARADü"
"2021-07-15","71200000000","D",34284,"ARAHo"
"2021-07-15","163000000000","D",15437,"ARAIL"
"2021-07-15","699000000000","D",38220,"ARAMe"
"2021-07-15","289000000000","D",54848,"ARANi"
"2021-07-15","356000000000","Q",32651,"ARAUs"
"2021-07-15","275000000000","D",32004,"ARAWe"
"2021-07-15","236000000000","D",162531,"ARAWi"
"2021-07-15","54600000000","D",478293,"ARAZH"
"2021-07-18","337000000000","D",26036,"ARAAf"
"2021-07-18","134000000000","D",17780,"ARABü"
"2021-07-18","159000000000","D",63993,"ARADi"
"2021-07-18","150000000000","D",38610,"ARADü"
"2021-07-18","0","N",29302,"ARAHo"
"2021-07-18","628000000000","D",15500,"ARAIL"
"2021-07-18","679000000000","Q",26331,"ARAMe"
"2021-07-18","159000000000","D",40364,"ARANi"
"2021-07-18","96100000000","D",33353,"ARAUs"
"2021-07-18","136000000000","D",27324,"ARAWe"
"2021-07-18","167000000000","D",114600,"ARAWi"
"2021-07-18","295000000000","D",462951,"ARAZH"
"2021-07-20","130000000000","D",18737,"ARAAf"
"2021-07-20","84200000000","D",12443,"ARABü"
"2021-07-20","137000000000","D",64260,"ARADi"
"2021-07-20","392000000000","D",31180,"ARADü"
"2021-07-20","0","N",21187,"ARAHo"
"2021-07-20","58000000000","D",12055,"ARAIL"
"2021-07-20","73600000000","D",14201,"ARAMe"
"2021-07-20","53000000000","D",27524,"ARANi"
"2021-07-20","140000000000","D",31352,"ARAUs"
"2021-07-20","107000000000","D",16875,"ARAWe"
"2021-07-20","936000000000","Q",78200,"ARAWi"
"2021-07-20","155000000000","D",440524,"ARAZH"
"2021-07-22","87100000000","D",16006,"ARAAf"
"2021-07-22","869000000000","Q",10923,"ARABü"
"2021-07-22","173000000000","D",59284,"ARADi"
"2021-07-22","0","N",26240,"ARADü"
"2021-07-22","309000000000","D",14184,"ARAHo"
"2021-07-22","78400000000","D",9887,"ARAIL"
"2021-07-22","405000000000","D",10741,"ARAMe"
"2021-07-22","235000000000","Q",23411,"ARANi"
"2021-07-22","0","N",23671,"ARAUs"
"2021-07-22","386000000000","Q",13040,"ARAWe"
"2021-07-22","147000000000","D",59300,"ARAWi"
"2021-07-22","158000000000","D",307583,"ARAZH"
"2021-07-25","1350000000000","Q",21418,"ARAAf"
"2021-07-25","493000000000","D",24164,"ARABü"
"2021-07-25","505000000000","Q",76614,"ARADi"
"2021-07-25","382000000000","D",43100,"ARADü"
"2021-07-25","119000000000","D",18400,"ARAHo"
"2021-07-25","477000000000","Q",12230,"ARAIL"
"2021-07-25","78900000000","D",21074,"ARAMe"
"2021-07-25","208000000000","D",49107,"ARANi"
